timestamp,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,gps_speed_mps,gps_timestamp
15:06.0,-0.009,0.999,-0.015,-0.2,0.63,0.8,13.99,15:06.0
15:06.1,-0.007,0.991,0.005,1.28,-0.74,0.56,13.99,15:06.0
15:06.2,-0.019,0.991,-0.011,0.56,-0.36,-0.29,13.99,15:06.0
15:06.3,0.005,0.988,0.009,-1.13,0.02,-0.5,13.99,15:06.0
15:06.4,-0.012,1.001,-0.004,-0.37,-0.26,0.06,13.99,15:06.0
15:06.5,0.018,0.988,0.008,0.42,4.89,1.5,13.99,15:06.0
15:06.6,0.068,1.014,-0.016,0.72,10.53,2.41,13.99,15:06.0
15:06.7,0.089,0.993,0.025,-0.85,15.9,3.18,13.99,15:06.0
15:06.8,0.113,0.99,0.014,-0.72,17.99,3.86,13.99,15:06.0
15:06.9,0.125,1.012,-0.022,-0.29,19.76,2.24,13.99,15:06.0
15:07.0,0.084,1.007,0.025,1.41,13.25,2.41,12.74,15:07.0
15:07.1,0.064,1.007,-0.019,-1.29,8.42,0.67,12.74,15:07.0
15:07.2,0.034,1.001,0.004,-1.06,3.85,0.21,12.74,15:07.0
15:07.3,0.014,1.02,0.026,-1.21,-1.31,0.9,12.74,15:07.0
15:07.4,-0.002,1.008,-0.007,-0.1,0.03,-0.14,12.74,15:07.0
15:07.5,0.004,0.985,0.008,1.03,-0.64,-0.09,12.74,15:07.0
15:07.6,0.01,0.997,-0.012,-1,0.03,-0.97,12.74,15:07.0
15:07.7,0.016,1.009,0.008,1.08,0.26,-0.19,12.74,15:07.0
15:07.8,0.004,1,0.019,0.91,-0.48,0.82,12.74,15:07.0
15:07.9,0.01,1.008,0.013,-0.28,0.79,0.76,12.74,15:07.0
15:08.0,0.008,1.008,0.011,-0.28,0.45,-0.86,11.95,15:08.0
15:08.1,-0.001,0.985,-0.006,0.42,0.25,-0.54,11.95,15:08.0
15:08.2,0.018,1.005,-0.006,0.48,0.14,0.07,11.95,15:08.0
15:08.3,-0.004,1.015,0.006,0.6,0.52,0.96,11.95,15:08.0
15:08.4,-0.029,1.005,-0.526,3.27,-0.2,-0.9,11.95,15:08.0
15:08.5,-0.018,0.995,-0.535,2.85,0.81,0.1,11.95,15:08.0
15:08.6,0,1.019,-0.433,4.69,0.28,0.62,11.95,15:08.0
15:08.7,-0.025,1.004,-0.359,1.44,0.86,-0.68,11.95,15:08.0
15:08.8,-0.002,0.987,-0.33,2.73,-0.88,0.89,11.95,15:08.0
15:08.9,-0.005,1.001,-0.265,1.6,-0.43,0.31,11.95,15:08.0
15:09.0,0.004,0.991,-0.198,0.99,-0.97,-0.51,6.53,15:09.0
15:09.1,-0.021,1.01,-0.176,2.39,0.5,-0.9,6.53,15:09.0
15:09.2,0.029,1.018,-0.153,2.02,-0.14,-0.04,6.53,15:09.0
15:09.3,0.028,0.99,-0.053,1.71,0.45,-0.06,6.53,15:09.0
15:09.4,0.019,1.01,0.004,-1.15,0.25,-0.09,6.53,15:09.0
15:09.5,-0.012,0.987,0.001,-1.13,-0.11,0.34,6.53,15:09.0
15:09.6,-0.002,0.993,0.003,-0.24,0.56,0.06,6.53,15:09.0
15:09.7,0.02,1.014,0.009,-0.78,-0.77,0.79,6.53,15:09.0
15:09.8,0.011,1.004,-0.006,-0.69,0.37,0.13,6.53,15:09.0
15:09.9,0.004,1.004,0.01,-0.93,-0.5,0.96,6.53,15:09.0
15:10.0,0.017,1.011,-0.018,-1.32,-0.46,-0.15,4.04,15:10.0
15:10.1,-0.016,1.001,-0.017,-1.24,0.35,0.1,4.04,15:10.0
15:10.2,0.005,0.996,-0.001,-0.87,-0.31,0.49,4.04,15:10.0
15:10.3,0.014,0.987,-0.015,0.93,0.25,0.54,4.04,15:10.0
15:10.4,-0.023,1.047,-0.019,3.24,-0.39,1.46,4.04,15:10.0
15:10.5,0.039,1.893,0.004,20.98,1.26,8.78,4.04,15:10.0
15:10.6,-0.01,0.384,0.03,-17.69,-1.25,-6.81,4.04,15:10.0
15:10.7,-0.001,1.057,-0.016,3.1,-1.27,0.14,4.04,15:10.0
15:10.8,0.006,0.987,-0.008,0.67,0.39,-0.43,4.04,15:10.0
15:10.9,-0.014,0.996,0.009,-0.4,-0.77,0.42,4.04,15:10.0
15:11.0,0.003,1.013,0.018,1.24,-0.12,0.61,4.83,15:11.0
15:11.1,-0.007,0.997,0.017,1.18,-0.5,-0.28,4.83,15:11.0
15:11.2,-0.005,0.996,-0.004,-0.34,-0.61,0.13,4.83,15:11.0
15:11.3,0.012,1.001,0.013,0.19,-0.65,0.52,4.83,15:11.0
15:11.4,0.015,0.993,-0.019,0.05,0.09,0.13,4.83,15:11.0
15:11.5,0.019,1.005,0.012,-1.31,0.09,0.58,4.83,15:11.0
15:11.6,-0.017,0.987,0.009,1.2,-0.83,0.27,4.83,15:11.0
15:11.7,-0.014,1.007,0.006,-0.76,-0.56,0.53,4.83,15:11.0
15:11.8,0.001,1.008,-0.004,-0.49,0.94,0.34,4.83,15:11.0
15:11.9,0,1.001,0.009,0.62,0.83,-0.18,4.83,15:11.0
15:12.0,0.013,1.005,0.014,0.92,0.67,0.78,8.45,15:12.0
15:12.1,0.006,1.001,0.008,0.91,-0.16,-0.16,8.45,15:12.0
15:12.2,-0.014,1.007,0.02,-0.37,-0.66,-0.59,8.45,15:12.0
15:12.3,-0.003,0.994,-0.071,-1.51,-0.38,-0.77,8.45,15:12.0
15:12.4,0.006,1.008,-0.103,-1.5,-0.08,0.17,8.45,15:12.0
15:12.5,0.016,0.986,-0.106,-1.3,-0.57,-0.53,8.45,15:12.0
15:12.6,0.009,1.003,-0.101,-1.3,-0.44,-0.65,8.45,15:12.0
15:12.7,0.01,0.994,-0.088,-0.29,-0.04,-0.48,8.45,15:12.0
15:12.8,0.015,1.012,-0.096,-0.72,0.91,-0.03,8.45,15:12.0
15:12.9,-0.011,0.986,-0.072,-0.32,-0.23,0.06,8.45,15:12.0
15:13.0,0.001,0.993,-0.07,-0.55,-0.52,-0.98,4.74,15:13.0
15:13.1,-0.005,1.009,-0.081,-0.63,-0.69,-0.69,4.74,15:13.0
15:13.2,-0.007,0.993,-0.075,-0.77,0.27,0.99,4.74,15:13.0
15:13.3,-0.009,1.001,-0.104,-0.37,-1,0.64,4.74,15:13.0
15:13.4,0.014,1.01,-0.107,-1.17,0.43,-0.81,4.74,15:13.0
15:13.5,-0.001,0.999,-0.072,-0.66,0.71,-0.39,4.74,15:13.0
15:13.6,0.012,0.998,-0.073,-1.45,0.65,-0.58,4.74,15:13.0
15:13.7,0.002,1.001,-0.104,-0.27,-0.38,-0.38,4.74,15:13.0
15:13.8,-0.013,0.996,-0.001,0.43,-0.28,0.37,4.74,15:13.0
15:13.9,-0.012,0.998,-0.001,0.93,0.66,0.31,4.74,15:13.0
15:14.0,-0.015,0.998,0.006,-0.53,0.13,-0.08,0.1,15:14.0
15:14.1,0.015,1.006,-0.009,0.23,-0.42,-0.25,0.1,15:14.0
15:14.2,0.001,0.996,-0.005,-0.22,0.33,-0.49,0.1,15:14.0
15:14.3,-0.063,1.045,-0.015,9.35,0.85,4.03,0.1,15:14.0
15:14.4,-0.035,1.064,-0.037,-7.54,-5.48,3.2,0.1,15:14.0
15:14.5,0.044,0.938,-0.009,7.08,1.25,-7.38,0.1,15:14.0
15:14.6,-0.057,0.933,-0.034,-1.96,-5.77,7.57,0.1,15:14.0
15:14.7,-0.003,1,0.126,1.07,0.64,-0.23,0.1,15:14.0
15:14.8,-0.007,0.997,0.101,-0.4,0.4,0.96,0.1,15:14.0
15:14.9,0.012,1.005,0.124,-1.93,-0.34,-0.32,0.1,15:14.0
15:15.0,0.006,0.988,0.115,0.04,0.58,0.65,1.47,15:15.0
15:15.1,-0.014,1.008,0.136,0.19,-0.29,0,1.47,15:15.0
15:15.2,-0.014,1.006,0.139,0.06,0.43,0.67,1.47,15:15.0
15:15.3,-0.012,1.013,0.125,-1.21,-0.83,-0.51,1.47,15:15.0
15:15.4,0.003,1.006,0.113,1.72,-0.28,-0.07,1.47,15:15.0
15:15.5,-0.015,1.014,0.105,1.62,0.09,0.12,1.47,15:15.0
15:15.6,0.002,0.993,0.136,1.97,0.64,0.2,1.47,15:15.0
15:15.7,-0.015,1.01,-0.008,1.19,-0.52,0.15,1.47,15:15.0
15:15.8,0.013,0.991,0.002,-1.27,-0.94,-0.64,1.47,15:15.0
15:15.9,0.019,1.013,0.006,-0.58,0.34,0.48,1.47,15:15.0
15:16.0,-0.005,1.003,0.012,-1.45,-0.6,-0.06,4.57,15:16.0
15:16.1,-0.005,1.002,-0.013,0.06,-0.47,0.14,4.57,15:16.0
15:16.2,-0.007,1.004,-0.018,0.51,-0.71,0.92,4.57,15:16.0
15:16.3,0.004,0.999,-0.004,0.37,0.38,0.52,4.57,15:16.0
15:16.4,0.01,1,0.02,1.01,0.71,-0.18,4.57,15:16.0
15:16.5,-0.003,1.002,0.016,0.08,0.05,-0.14,4.57,15:16.0
15:16.6,0.016,0.995,-0.018,0.68,0.8,0.46,4.57,15:16.0
15:16.7,0.004,1.008,-0.008,0.28,-0.86,-0.75,4.57,15:16.0
15:16.8,-0.002,1,-0.004,-1.34,0.39,0.05,4.57,15:16.0
15:16.9,-0.01,0.994,-0.004,-0.79,-0.86,0.82,4.57,15:16.0
15:17.0,0.019,1.005,0.015,-0.24,0.61,-0.56,8.68,15:17.0
15:17.1,0.003,1.012,-0.016,0.88,-0.75,0.08,8.68,15:17.0
15:17.2,0.018,0.98,-0.015,-0.6,-0.53,-0.87,8.68,15:17.0
15:17.3,-0.016,1.013,-0.006,-0.43,-4.54,-1.71,8.68,15:17.0
15:17.4,-0.083,1.016,-0.012,0,-8.3,-0.65,8.68,15:17.0
15:17.5,-0.097,0.988,-0.012,1.27,-13.21,-3.01,8.68,15:17.0
15:17.6,-0.114,0.994,-0.002,-0.98,-18.06,-2.21,8.68,15:17.0
15:17.7,-0.14,1.005,-0.019,1.14,-20.55,-3.99,8.68,15:17.0
15:17.8,-0.087,0.993,0.024,1.11,-13.76,-3.13,8.68,15:17.0
15:17.9,-0.056,1.018,-0.003,-1.26,-10.43,-1.99,8.68,15:17.0
15:18.0,-0.024,0.988,-0.019,-0.79,-4.31,-0.22,8.07,15:18.0
15:18.1,0.006,1.015,0.005,-0.81,-0.6,0.85,8.07,15:18.0
15:18.2,0.007,0.993,0.006,-1.23,0.97,-0.12,8.07,15:18.0
15:18.3,0.001,1.001,-0.018,0.3,-0.43,-0.5,8.07,15:18.0
15:18.4,0.012,0.988,-0.009,0.77,-0.51,-0.44,8.07,15:18.0
15:18.5,0.002,0.991,0.016,1.46,-0.93,-0.08,8.07,15:18.0
15:18.6,0.01,0.997,0.017,0,-0.64,0.11,8.07,15:18.0
15:18.7,0.006,0.996,0.006,0.85,0.03,0.01,8.07,15:18.0
15:18.8,0.014,1.006,0.001,1.35,-0.65,0.56,8.07,15:18.0
15:18.9,-0.013,1.003,-0.011,-0.18,0.55,0.57,8.07,15:18.0
15:19.0,0.012,0.992,0,-0.84,0.16,0,7.86,15:19.0
15:19.1,0.004,1.006,0.003,1.12,-0.64,-0.7,7.86,15:19.0
15:19.2,-0.029,1,0.295,-2.32,-0.47,0.6,7.86,15:19.0
15:19.3,-0.026,1.016,0.281,-1.83,0.58,-0.52,7.86,15:19.0
15:19.4,-0.021,0.992,0.213,-2.34,0.24,0.05,7.86,15:19.0
15:19.5,-0.014,1.004,0.192,-0.65,-0.66,-0.49,7.86,15:19.0
15:19.6,-0.02,1.008,0.226,-0.57,-0.88,-0.18,7.86,15:19.0
15:19.7,-0.008,0.989,0.213,-2.62,-0.02,0.52,7.86,15:19.0
15:19.8,0.029,0.986,0.146,-0.34,-0.92,-0.52,7.86,15:19.0
15:19.9,0.023,0.986,0.116,-1.5,-0.15,-0.85,7.86,15:19.0
15:20.0,-0.028,1.02,0.121,-0.01,-0.54,-0.49,11.65,15:20.0
15:20.1,-0.015,0.998,0.11,-0.94,-0.33,0.96,11.65,15:20.0
15:20.2,0.007,0.982,0.042,0.09,-0.88,-0.31,11.65,15:20.0
15:20.3,0.012,1.015,0.032,0.98,-0.07,-0.21,11.65,15:20.0
15:20.4,0.014,0.996,0.011,-0.85,-0.31,-0.63,11.65,15:20.0
15:20.5,0.002,0.99,-0.012,-0.86,-0.06,-0.38,11.65,15:20.0
15:20.6,-0.002,1.015,0.007,1.09,-0.59,-0.23,11.65,15:20.0
15:20.7,-0.017,1.006,-0.005,-0.68,-0.96,-0.64,11.65,15:20.0
15:20.8,-0.01,0.997,0.017,0.65,-0.46,-0.28,11.65,15:20.0
15:20.9,-0.014,1.013,-0.006,0.8,0.45,0.81,11.65,15:20.0
15:21.0,-0.019,0.995,-0.005,-1.25,0.76,-0.35,13.08,15:21.0
15:21.1,0.001,0.987,-0.004,-0.79,-0.92,-0.7,13.08,15:21.0
15:21.2,0.004,0.986,-0.008,-0.23,0.09,-0.73,13.08,15:21.0
15:21.3,0.008,0.993,0.009,0.5,-0.71,-0.59,13.08,15:21.0
15:21.4,-0.009,1.006,-0.004,-0.34,0.73,-0.55,13.08,15:21.0
15:21.5,-0.008,0.995,-0.011,-1.38,-0.95,0.26,13.08,15:21.0
15:21.6,0.003,1.009,0.019,-0.61,0.34,0.84,13.08,15:21.0
15:21.7,-0.011,1.006,0.007,1.37,0.74,-0.53,13.08,15:21.0
15:21.8,0.005,0.988,-0.003,-0.32,-0.88,-0.23,13.08,15:21.0
15:21.9,-0.01,1,-0.702,3.92,-0.2,-0.05,13.08,15:21.0
15:22.0,-0.02,1.007,-0.621,3.11,-0.32,-0.16,11.9,15:22.0
15:22.1,0.005,1.008,-0.505,4.31,-0.95,-0.22,11.9,15:22.0
15:22.2,-0.008,0.983,-0.435,1.75,-0.01,0.17,11.9,15:22.0
15:22.3,-0.002,0.993,-0.365,1.04,-0.31,0.78,11.9,15:22.0
15:22.4,0.004,0.99,-0.238,0.91,-0.06,0.23,11.9,15:22.0
15:22.5,0.027,0.995,-0.162,2.56,0.54,0.25,11.9,15:22.0
15:22.6,0.007,0.996,-0.093,-0.05,0.66,0.76,11.9,15:22.0
15:22.7,-0.005,1.012,-0.018,-1.09,0.01,-0.38,11.9,15:22.0
15:22.8,-0.006,1.014,-0.014,-0.92,-0.54,0.36,11.9,15:22.0
15:22.9,-0.011,0.985,0.002,-0.32,-0.52,-0.01,11.9,15:22.0
15:23.0,0.006,1.001,0.005,0.18,0.66,0.94,5.95,15:23.0
15:23.1,-0.006,1.012,-0.007,0.65,0.39,0.37,5.95,15:23.0
15:23.2,0.019,1.01,-0.014,0.36,-0.02,0.13,5.95,15:23.0
15:23.3,-0.005,0.994,0.01,0.1,-0.53,-0.5,5.95,15:23.0
15:23.4,-0.007,0.99,0.001,-1.12,-0.87,-0.86,5.95,15:23.0
15:23.5,-0.016,1.006,-0.015,-0.15,0.54,-0.04,5.95,15:23.0
15:23.6,-0.013,1.011,0.015,-1.34,-0.49,0.01,5.95,15:23.0
15:23.7,0.024,1.046,0.017,0.01,0.65,-0.52,5.95,15:23.0
15:23.8,-0.013,1.36,0.027,7.31,0.2,2.76,5.95,15:23.0
15:23.9,0.017,1.505,0.026,10.2,-1.12,3.63,5.95,15:23.0
15:24.0,0.014,1.189,-0.025,2.05,0.26,3.32,6.26,15:24.0
15:24.1,-0.029,0.858,-0.006,-2.47,-0.31,-0.7,6.26,15:24.0
15:24.2,0.039,1.032,0.017,-0.53,-1.37,-0.64,6.26,15:24.0
15:24.3,0.009,1.015,-0.015,-0.51,-0.95,0.09,6.26,15:24.0
15:24.4,-0.001,0.996,-0.008,0.9,0.68,-0.43,6.26,15:24.0
15:24.5,-0.004,1.004,0.011,1.44,-0.22,0.39,6.26,15:24.0
15:24.6,0.002,1.009,-0.014,-0.97,-0.79,0.87,6.26,15:24.0
15:24.7,-0.01,1,-0.015,-0.53,-0.96,0.13,6.26,15:24.0
15:24.8,-0.014,1.004,-0.009,-0.82,-0.04,-0.27,6.26,15:24.0
15:24.9,-0.01,0.987,-0.017,1.18,-0.38,-0.84,6.26,15:24.0
15:25.0,-0.013,1,0.02,-0.89,0.73,-0.03,6.32,15:25.0
15:25.1,0.012,0.997,-0.018,0.15,0.31,0.25,6.32,15:25.0
15:25.2,-0.009,1.013,0.015,1.48,-0.11,0.67,6.32,15:25.0
15:25.3,0.009,0.99,-0.019,-0.99,-0.76,-0.85,6.32,15:25.0
15:25.4,-0.006,1.008,-0.008,0.04,-0.98,-0.58,6.32,15:25.0
15:25.5,0.018,0.985,0.001,0.93,0.58,0.47,6.32,15:25.0
15:25.6,-0.004,1.009,0.013,0.8,0.97,-0.8,6.32,15:25.0
15:25.7,0.018,0.997,0.008,-0.75,0.82,-0.95,6.32,15:25.0
